EXPERIENCE_DAYS,MEDIAN_PRICE,WEST,N_UNIQUE_CATEGORIES_,V_LEVEL
167,149.99,1,1,Level 2
108,312.5,1,2,Level 1
359,70,1,3,Level 3
377,192,1,1,Level 1
145,26.48,1,2,Level 2
268,59,1,4,Level 1
224,8.49,0,8,Level 1
256,212,1,2,Level 3
665,175,1,3,Level 1
517,163.75,1,3,Level 4
82,76.72,1,2,Level 1
374,106.54,1,3,Level 3
464,171.37,0,3,Level 3
400,347,0,5,Level 4
396,167.31,1,1,Level 2
372,56.15,1,1,Level 1
185,47.43,1,3,Level 1
205,75,1,2,Level 1
334,100.275,1,3,Level 1
480,0,1,2,Level 2
506,122.5,1,2,Level 2
338,110,0,1,Level 1
375,53.59,1,3,Level 2
484,14.23,0,3,Level 1
85,91.25,1,3,Level 2
325,97.14,1,1,Level 3
413,85.18,1,4,Level 4
142,235.385,1,2,Level 2
174,70.47,1,4,Level 2
80,33.575,1,1,Level 1
58,60,1,1,Level 1
68,24.61,0,2,Level 1
519,62.5,1,1,Level 1
259,103.35,1,2,Level 1
544,92,1,1,Level 1
74,22.5,1,3,Level 2
190,137.5,1,2,Level 1
563,71,1,2,Level 2
315,243.5,1,3,Level 3
362,49.395,1,3,Level 1
42,42.105,1,1,Level 1
108,159.23,1,2,Level 1
242,195.43,0,2,Level 1
754,143.25,1,4,Level 1
22,8,1,3,Level 1
264,435,0,2,Level 1
323,21.57,0,3,Level 2
149,50,1,5,Level 1
506,94.76,1,4,Level 3
366,146.5,1,3,Level 4
236,79,1,1,Level 2
576,170.58,1,1,Level 3
132,322.11,0,3,Level 1
320,137.425,1,5,Level 3
168,40,1,2,Level 2
160,0,0,1,Level 1
356,69.325,1,3,Level 3
147,8.31,0,3,Level 1
694,152.37,1,2,Level 1
59,64.1,1,3,Level 1
108,200,0,3,Level 1
303,49,1,2,Level 2
349,45.37,1,4,Level 1
427,95.23,1,4,Level 3
185,46.45,1,3,Level 2
748,69.21,1,1,Level 3
749,40,1,1,Level 1
156,29.49,1,2,Level 1
179,159.36,1,3,Level 1
414,69.54,1,3,Level 4
579,200,1,3,Level 4
206,190,1,2,Level 2
656,75.495,1,2,Level 3
93,46.5,1,2,Level 1
189,47.995,0,3,Level 1
672,581.4,0,3,Level 2
498,176.04,1,4,Level 1
337,779.005,0,2,Level 1
171,40,1,3,Level 3
121,62.04,1,2,Level 1
418,61.21,1,3,Level 3
412,191.685,1,3,Level 2
40,71,1,1,Level 1
70,2851.76,0,2,Level 1
202,90.715,1,1,Level 1
446,1000,0,3,Level 1
396,452.925,0,3,Level 4
253,292.55,1,4,Level 1
759,0.72,1,1,Level 1
334,58.34,0,2,Level 1
164,60.87,1,2,Level 1
660,650,1,3,Level 1
276,340,1,5,Level 4
575,300,1,2,Level 3
579,240,1,1,Level 1
69,227.19,1,3,Level 1
175,53.41,1,4,Level 2
473,103.9,1,2,Level 4
259,515.28,0,1,Level 1
144,30.775,1,3,Level 1
542,133.985,1,2,Level 1
671,45,1,2,Level 2
282,91.78,1,1,Level 2
334,649,0,3,Level 1
726,65.98,1,2,Level 3
95,83.67,1,4,Level 1
466,53.03,1,3,Level 3
326,78.42,1,4,Level 1
533,19.99,1,4,Level 2
208,100,1,4,Level 3
496,202.49,0,2,Level 1
82,70,1,1,Level 1
365,43.98,1,3,Level 1
667,180,0,2,Level 4
518,103.175,0,5,Level 3
360,173.68,0,3,Level 1
252,0,1,3,Level 1
208,5,1,1,Level 1
560,89.93,1,2,Level 3
738,29.03,1,4,Level 4
368,100.5,1,3,Level 3
77,199,1,5,Level 1
332,193.95,0,3,Level 3
611,169.995,1,2,Level 1
87,80,1,2,Level 1
142,37.39,0,1,Level 2
736,210,1,1,Level 1
348,117.94,1,1,Level 1
46,37.33,1,2,Level 1
144,160.5,1,3,Level 1
360,182,1,4,Level 4
14,60,1,2,Level 1
21,72.045,1,2,Level 1
395,187.87,1,2,Level 1
270,60,1,1,Level 1
644,1350,0,1,Level 1
64,35,0,1,Level 1
726,290,1,2,Level 4
381,24,1,4,Level 3
224,52.9,1,2,Level 1
76,128.96,1,2,Level 2
285,310,1,2,Level 3
114,25,1,2,Level 1
191,294.345,1,4,Level 3
141,119.01,1,4,Level 3
565,400,1,2,Level 4
223,52.66,1,4,Level 1
290,131.25,1,2,Level 3
284,202.985,0,4,Level 1
308,219.42,1,4,Level 3
274,203.88,1,3,Level 3
273,13,1,2,Level 1
328,47.235,1,3,Level 1
163,29.045,1,1,Level 1
59,34.665,1,2,Level 1
501,77.97,1,2,Level 3
403,125.185,1,3,Level 3
126,75.53,1,1,Level 1
160,159.34,1,1,Level 2
193,105.11,1,4,Level 1
340,212.84,1,3,Level 3
23,31,0,2,Level 1
247,200,0,2,Level 1
232,345,1,2,Level 1
466,77.72,1,2,Level 2
74,48.685,1,1,Level 1
271,60,1,2,Level 1
160,214,1,1,Level 1
252,70,1,2,Level 1
740,54.82,1,2,Level 2
530,448.22,1,1,Level 2
184,112.07,1,2,Level 1
